# epoch	train_loss	test_loss	train_acc	test_acc	test_f1
1	0.848710	0.631987	63.025442	71.555300	0.459991
new best model saved at epoch 1: 0.848710	0.631987	63.025442	71.555300	0.459991
2	0.719061	0.671999	69.478245	75.757488	0.523131
new best model saved at epoch 2: 0.719061	0.671999	69.478245	75.757488	0.523131
3	0.688801	0.612164	70.630531	77.093894	0.594536
new best model saved at epoch 3: 0.688801	0.612164	70.630531	77.093894	0.594536
4	0.655855	0.622421	71.469395	78.349654	0.634054
new best model saved at epoch 4: 0.655855	0.622421	71.469395	78.349654	0.634054
5	0.635203	0.638319	72.437316	76.650346	0.564462
6	0.613593	0.570291	74.640487	79.331797	0.658802
new best model saved at epoch 6: 0.613593	0.570291	74.640487	79.331797	0.658802
7	0.623492	0.526959	72.925885	78.971774	0.654680
8	0.598424	0.587581	74.317847	79.158986	0.648577
9	0.582238	0.548093	75.055310	80.313940	0.682223
new best model saved at epoch 9: 0.582238	0.548093	75.055310	80.313940	0.682223
10	0.578538	0.565954	75.377950	79.510369	0.677062
11	0.586650	0.564515	74.741888	78.888249	0.657972
12	0.579149	0.552366	75.331858	79.153226	0.666571
13	0.565501	0.616704	76.373525	79.337558	0.671201
14	0.577022	0.582735	75.617625	80.855415	0.705709
new best model saved at epoch 14: 0.577022	0.582735	75.617625	80.855415	0.705709
15	0.563097	0.576347	76.548673	80.676843	0.697906
16	0.561584	0.588556	76.336652	80.132488	0.693308
17	0.554129	0.650233	75.986357	80.757488	0.701660
18	0.557822	0.521288	75.617625	80.763249	0.716413
19	0.550310	0.548978	76.797566	80.495392	0.709842
20	0.535893	0.586276	76.963496	80.763249	0.713084
21	0.544907	0.606579	76.898968	80.852535	0.714961
22	0.534926	0.587202	76.677729	80.138249	0.696111
23	0.543532	0.545752	76.981932	80.855415	0.711072
24	0.551105	0.561970	75.958702	80.316820	0.691190
25	0.530536	0.607868	77.507375	81.028226	0.708382
new best model saved at epoch 25: 0.530536	0.607868	77.507375	81.028226	0.708382
26	0.534475	0.583936	77.037242	79.691820	0.684217
27	0.523698	0.568566	77.442847	81.921083	0.734758
new best model saved at epoch 27: 0.523698	0.568566	77.442847	81.921083	0.734758
28	0.535877	0.631100	77.617994	80.224654	0.698100
29	0.525630	0.591187	77.138643	81.477535	0.720425
30	0.546941	0.534498	76.207596	80.406106	0.695210
31	0.534128	0.493325	77.507375	80.760369	0.707106
32	0.529431	0.526131	77.313791	81.209677	0.717491
33	0.527498	0.634247	78.023599	79.959677	0.694798
34	0.509190	0.522757	78.337021	81.206797	0.721196
35	0.511736	0.539733	79.351032	80.673963	0.700261
36	0.519560	0.555256	78.567478	81.212558	0.715725
37	0.518310	0.575888	77.608776	81.120392	0.720573
38	0.516903	0.553713	78.493732	81.039747	0.710984
39	0.511848	0.581267	78.742625	80.414747	0.700721
40	0.513678	0.503312	78.125000	81.483295	0.720978
41	0.501939	0.547899	78.558260	80.411866	0.704464
42	0.502158	0.524755	79.019174	81.039747	0.717601
43	0.519237	0.523256	78.134218	80.944700	0.711378
44	0.499320	0.562248	79.019174	81.212558	0.718224
45	0.519149	0.510706	78.447640	80.141129	0.703464
46	0.519372	0.517601	78.751844	82.465438	0.741604
new best model saved at epoch 46: 0.519372	0.517601	78.751844	82.465438	0.741604
47	0.504467	0.526942	79.019174	80.947581	0.713575
48	0.502402	0.518527	79.470870	81.762673	0.733383
49	0.520615	0.493789	78.051254	81.661866	0.727759
50	0.526974	0.538902	77.313791	81.745392	0.724184
51	0.518741	0.547513	77.857670	80.766129	0.709054
52	0.493946	0.543724	78.880900	82.105415	0.733805
53	0.508137	0.487197	79.148230	81.215438	0.724450
54	0.501264	0.518393	79.102139	81.932604	0.733157
55	0.512556	0.566914	78.539823	80.498272	0.701828
56	0.492473	0.535030	78.364676	80.590438	0.710689
57	0.503581	0.610135	78.383112	81.126152	0.716665
58	0.499261	0.610399	79.083702	80.849654	0.708763
59	0.511702	0.565384	78.751844	80.141129	0.709449
60	0.498150	0.600552	78.585914	80.054724	0.702869
61	0.502038	0.550915	78.549041	81.218318	0.726469
62	0.507148	0.555594	78.807153	80.146889	0.699763
63	0.496064	0.532458	79.341814	80.498272	0.708247
64	0.492127	0.554653	78.585914	80.679724	0.705964
65	0.513870	0.513433	77.608776	81.036866	0.720487
66	0.501962	0.559031	79.424779	79.334677	0.677479
67	0.488444	0.615285	79.056047	80.947581	0.714162
68	0.492252	0.560200	79.157448	80.149770	0.700718
69	0.478975	0.617953	79.397124	80.950461	0.711288
70	0.497171	0.570897	78.844027	80.950461	0.718942
71	0.480430	0.579968	79.996313	80.495392	0.711995
72	0.503189	0.600341	79.139012	80.584677	0.711395
73	0.504555	0.571524	78.419985	81.477535	0.727515
74	0.497014	0.566472	79.148230	80.941820	0.723576
75	0.507520	0.568437	78.438422	80.408986	0.712632
76	0.513565	0.550728	78.558260	80.760369	0.714295
77	0.486446	0.583255	80.208333	81.120392	0.717174
78	0.484456	0.561109	79.480088	80.316820	0.703315
79	0.488779	0.556129	79.185103	81.396889	0.724866
80	0.501008	0.582488	79.185103	81.754032	0.730583
